date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-12-20,2005,MIA,ATL,111,92,0.8771811577922564
2005-12-20,2005,MIL,SAS,109,107,0.36327734389833294
2005-12-20,2005,PHO,OKC,112,83,0.774868986910441
2005-12-21,2005,BOS,UTA,101,89,0.7505221629148294
2005-12-21,2005,DEN,WAS,110,116,0.774868986910441
2005-12-21,2005,HOU,TOR,81,94,0.7305317733738104
2005-12-21,2005,IND,LAC,97,75,0.6349897540983607
2005-12-21,2005,MEM,POR,89,79,0.9086689785292984
2005-12-21,2005,MIN,NOP,88,69,0.789141393542914
2005-12-21,2005,NYK,SAS,96,109,0.34414055424741896
2005-12-21,2005,ORL,BRK,85,96,0.5697382574399427
2005-12-21,2005,PHI,GSW,111,100,0.5697382574399427
2005-12-22,2005,CHI,CLE,100,108,0.45685279187817257
2005-12-22,2005,SAC,DAL,95,105,0.325
2005-12-23,2005,ATL,PHI,111,108,0.36327734389833294
2005-12-23,2005,CHO,LAC,88,97,0.3795145550087581
2005-12-23,2005,CLE,IND,94,89,0.6349897540983607
2005-12-23,2005,DEN,HOU,108,86,0.774868986910441
2005-12-23,2005,DET,GSW,97,85,0.7305317733738104
2005-12-23,2005,MEM,CHI,95,77,0.7305317733738104
2005-12-23,2005,MIA,BRK,88,95,0.7305317733738104
2005-12-23,2005,MIL,NOP,101,94,0.7184684684684686
2005-12-23,2005,MIN,POR,83,91,0.8670618880804816
2005-12-23,2005,NYK,UTA,98,90,0.6349897540983607
2005-12-23,2005,OKC,DAL,98,101,0.4179498460184778
2005-12-23,2005,ORL,LAL,88,104,0.4759806081974437
2005-12-23,2005,PHO,WAS,111,112,0.789141393542914
2005-12-23,2005,SAS,TOR,95,90,0.8771811577922564
2005-12-25,2005,DET,SAS,85,70,0.6932487904343705
2005-12-25,2005,MIA,LAL,97,92,0.7184684684684686
2005-12-26,2005,CLE,CHI,102,91,0.774868986910441
2005-12-26,2005,DAL,IND,102,80,0.6554939057667819
